t	EXCHANGERATE	CPIUSA	M1USA	M2USA	UNRATEUSA	PPIUSA	GDPUSA	CPIMEX	UNRATEMEX	PPIMEX	GDPMEX
01.01.1994	3,1078	146,3	773,5	3481,8	6,6	119,1	66,66608143	15,91517148	3,7	13,82977695	14,99034621
01.02.1994	3,1218	146,7	774,6	3459,7	6,6	119,3	66,66608143	15,99702584	3,6	13,92978344	14,99034621
01.03.1994	3,3026	147,1	775,1	3477	6,5	119,7	66,66608143	16,07928133	3,5	13,99587968	14,99034621
01.04.1994	3,3495	147,2	775,2	3507,2	6,4	119,7	66,988268	16,1580297	3,6	14,11355973	15,27101133
01.05.1994	3,3167	147,5	775,1	3472,8	6,1	119,9	66,988268	16,23609858	3,3	14,22563598	15,27101133
01.06.1994	3,3671	147,9	774,3	3478,9	6,1	120,5	66,988268	16,31734058	3,4	14,32104447	15,27101133
01.07.1994	3,4031	148,4	775,4	3492,2	6,1	120,7	67,37225262	16,38970669	3,5	14,42737321	15,70732694
01.08.1994	3,3814	149	772,2	3481,5	6	121,2	67,37225262	16,46609731	3,6	14,50367126	15,70732694
01.09.1994	3,4022	149,3	771,5	3479,4	5,9	121	67,37225262	16,58320473	3,6	14,57120438	15,70732694
01.10.1994	3,4212	149,4	769,9	3475,4	5,8	120,9	67,73781551	16,67026084	3,9	14,66345175	16,18525347
01.11.1994	3,4425	149,8	768,3	3492	5,6	121,5	67,73781551	16,75937833	4,1	14,79578793	16,18525347
01.12.1994	3,9748	150,1	766,6	3506,9	5,5	121,9	67,73781551	16,9063684	4	15,04781577	16,18525347
01.01.1995	5,6405	150,5	765	3497,4	5,6	122,9	68,10501283	17,54271466	4,4	16,27447585	18,29045055
01.02.1995	5,6779	150,9	760,4	3474,7	5,4	123,5	68,10501283	18,28622001	5,1	17,22367539	18,29045055
01.03.1995	6,777	151,2	758,4	3491,2	5,4	123,9	68,10501283	19,3642127	5,6	18,51154634	18,29045055
01.04.1995	6,2285	151,8	757,1	3525,2	5,8	124,6	68,43240332	20,90721961	6,1	20,47819697	21,21520357
01.05.1995	5,9741	152,1	753	3502,6	5,6	124,9	68,43240332	21,78105533	6,5	21,35971971	21,21520357
01.06.1995	6,233	152,4	750,8	3544,8	5,6	125,3	68,43240332	22,47233028	6,7	21,88820229	21,21520357
